tipo_proceso;subtipo_proceso;;etapa_procesal;;juzgado
;;;PROPONE EXCEPCIONES;;(110012210000) DESPACHO DE LA SALA DE FAMILIA DEL TRIBUNAL SUPERIOR DE BOGOTA
;;;TRASLADO EXCEPCIONES;;(110013331001) JUZGADO 001 ADMINISTRATIVO DE BOGOTA
;;;SOLICITUD DE APREHENSION 2;;(130012204001) DESPACHO 001 DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE CARTAGENA
;;;SOLICITUD DE TERMINACION POR TRANSACCION;;(130012221001) DESPACHO 001 DE LA SALA CIVIL ESPECIALIZADA EN RESTITUCION DE TIERRAS DEL TRIBUNAL SUPERIOR DE CARTAGENA
;;;TERMINADO POR VENTA DE CARTERA;;(110014089001) JUZGADO 001 PROMISCUO MUNICIPAL DE BOGOTA
;;;RECURSO CONTRA AUTO QUE LIBRA MANDAMIENTO DE PAGO;;(110013334001) JUZGADO 001 ADMINISTRATIVO DE LA SECCION PRIMERA DE BOGOTA
;;;RECURSO CONTRA AUTO QUE ADMITE DEMANDA (RESTITUCION);;(130012213001) DESPACHO 001 DE LA SALA CIVIL FAMILIA DEL TRIBUNAL SUPERIOR DE CARTAGENA
;;;RECURSO CONTRA AUTO QUE TERMINA PROCESO POR DESISTIMIENTO TACITO (SIN SENTENCIA);;(110013419001) JUZGADO 001 PENAL DEL CIRCUITO CON FUNCION DE EJECUCION DE SENTENCIAS DE JUSTICIA Y PAZ DE BOGOTA
;;;RECURSO CONTRA AUTO QUE TERMINA PROCESO POR DESISTIMIENTO TACITO (CON SENTENCIA);;(110110203001) DESPACHO 001 DE LA SALA DE CASACION CIVIL DE LA CORTE SUPREMA DE JUSTICIA
;;;RECURSO CONTRA AUTO QUE DICTA SENTENCIA;;(130012205001) DESPACHO 001 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE CARTAGENA
;;;RECURSO CONTRA AUTO QUE RECHAZA DEMANDA;;(110014088001) JUZGADO 001 PENAL MUNICIPAL CON FUNCION DE CONTROL DE GARANTIAS DE BOGOTA
;;;RECURSO CONTRA AUTO QUE NIEGA MANDAMIENTO DE PAGO;;(130011101001) CONSEJO SECCIONAL DE LA JUDICATURA SALA ADMINISTRATIVA DESPACHO 1 CARTAGENA
;;;RECURSO CONTRA AUTO QUE TERMINA PROCESO POR PAGO TOTAL;;(130011102001) DESPACHO 001 DE LA SALA JURISDICCIONAL DISCIPLINARIA DE BOLIVAR
;;;ACUERDO DE ADJUDICACION DE BIENES;;(110013403001) JUZGADO 001 CIVIL DEL CIRCUITO DE EJECUCION DE SENTENCIAS DE BOGOTA
;;;ACUERDO DE ADJUDICACION DE BIENES;;(110013410001) JUZGADO 001 DE EJECUCION EN ASUNTOS DE FAMILIA DEL CIRCUITO DE BOGOTA
;;;ADMITE LIQUIDACION PATRIMONIAL;;(110013118001) JUZGADO 001 PENAL DE CIRCUITO PARA ADOLESCENTES CON FUNCION DE CONOCIMIENTO DE BOGOTA
;;;ADMITE PROCESO DE REORGANIZACION EMPRESARIAL;;(110013109001) JUZGADO 001 PENAL DEL CIRCUITO CON FUNCION DE CONOCIMIENTO DE BOGOTA
;;;ADMITE TRAMITE DE NEGOCIACION DE DEUDAS;;(130013107001) JUZGADO 001 PENAL DE CIRCUITO ESPECIALIZADO DE CARTAGENA
;;;APROPIACION DEL VEHICULO;;(110014303001) JUZGADO 001 CIVIL MUNICIPAL DE EJECUCION DE SENTENCIAS DE BOGOTA
;;;APRUEBA ACUERDO DE REORGANIZACION;;(130013105001) JUZGADO 001 LABORAL DE CARTAGENA
;;;APRUEBA LIQUIDACION;;(110013110001) JUZGADO 001 DE FAMILIA DE BOGOTA
;;;AUDIENCIA CONVALIDACION DE ACUERDO PRIVADO;;(110013107001) JUZGADO 001 PENAL DE CIRCUITO ESPECIALIZADO DE BOGOTA
;;;AUDIENCIA DE APROBACION DE ACUERDO DE NEGOCIACION DE DEUDAS;;(130013104001) JUZGADO 001 PENAL DEL CIRCUITO DE CARTAGENA
;;;AUDIENCIA DE CONFIRMACION ACUERDO DE REORGANIZACION;;(110014189001) JUZGADO 001 DE PEQUENAS CAUSAS Y COMPETENCIA MULTIPLE DE BOGOTA
;;;AUDIENCIA DE GRADUACION Y CALIFICACION DE CREDITOS;;(110017070001) CENTRO DE SERVICIOS ADMINISTRATIVOS 001 JEPMS DE BOGOTA D.C.
;;;AUDIENCIA DE GRADUACION Y CALIFICACION DE CREDITOS;;(110014105001) JUZGADO 001 MUNICIPAL DE PEQUENAS CAUSAS LABORALES DE BOGOTA
;;;AUDIENCIA DE INCUMPLIMIENTO DEL ACUERDO DE REORGANIZACION;;(130012331001) DESPACHO 001 DEL TRIBUNAL ADMINISTRATIVO DE CARTAGENA
;;;AUDIENCIA DE NEGOCIACION DE DEUDAS;;(130013103001) JUZGADO 001 CIVIL DEL CIRCUITO DE CARTAGENA
;;;AUDIENCIA DE TRAMITE;;(110013120001) JUZGADO 001 PENAL DEL CIRCUITO ESPECIALIZADO EN EXTINCION DE DOMINIO DE BOGOTA
